Year,WHO,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
1984,South-East Asia,9,6,0,0,0,0,66.66666666666666
1984,Western Pacific,15,5,0,0,0,0,33.33333333333333
1985,Africa,32,23,1,0,0,3.125,71.875
1985,Eastern Mediterranean,20,9,0,0,0,0,45
1985,Europe,30,16,0,0,0,0,53.333333333333336
1985,Latin America and the Caribbean,27,19,0,0,0,0,70.37037037037037
1985,North America,2,2,0,0,0,0,100
1985,South-East Asia,7,3,0,0,0,0,42.857142857142854
1985,Western Pacific,16,8,0,0,0,0,50
1986,Africa,37,22,0,0,0,0,59.45945945945946
1986,Eastern Mediterranean,21,8,0,0,0,0,38.095238095238095
1986,Europe,30,12,0,0,0,0,40
1986,Latin America and the Caribbean,30,11,0,0,0,0,36.666666666666664
1986,North America,2,1,0,0,0,0,50
1986,South-East Asia,9,3,0,0,0,0,33.33333333333333
1986,Western Pacific,17,7,0,0,0,0,41.17647058823529
1987,Africa,39,20,0,0,0,0,51.28205128205128
1987,Eastern Mediterranean,21,8,0,0,0,0,38.095238095238095
1987,Europe,30,13,0,0,0,0,43.333333333333336
1987,Latin America and the Caribbean,31,17,0,0,0,0,54.83870967741935
1987,North America,2,2,0,0,0,0,100
1987,South-East Asia,9,3,0,0,0,0,33.33333333333333
1987,Western Pacific,17,7,1,0,0,5.88235294117647,41.17647058823529
1988,Africa,41,19,1,0,0,2.4390243902439024,46.34146341463415
1988,Eastern Mediterranean,21,7,0,0,0,0,33.33333333333333
1988,Europe,30,12,6,2,6.666666666666667,20,40
1988,Latin America and the Caribbean,31,14,3,0,0,9.67741935483871,45.16129032258064
1988,North America,2,2,1,0,0,50,100
1988,South-East Asia,9,5,4,0,0,44.44444444444444,55.55555555555556
1988,Western Pacific,17,6,1,0,0,5.88235294117647,35.294117647058826
1989,Africa,41,21,4,0,0,9.75609756097561,51.21951219512195
1989,Eastern Mediterranean,20,8,1,1,5,5,40
1989,Europe,30,13,13,1,3.3333333333333335,43.333333333333336,43.333333333333336
1989,Latin America and the Caribbean,33,18,8,0,0,24.242424242424242,54.54545454545454
1989,North America,2,2,2,0,0,100,100
1989,South-East Asia,8,3,3,0,0,37.5,37.5
1989,Western Pacific,16,5,4,1,6.25,25,31.25
1990,Africa,42,26,2,0,0,4.761904761904762,61.904761904761905
1990,Eastern Mediterranean,21,11,1,0,0,4.761904761904762,52.38095238095239
1990,Europe,31,12,9,1,3.225806451612903,29.03225806451613,38.70967741935484
1990,Latin America and the Caribbean,33,19,4,0,0,12.121212121212121,57.57575757575758
1990,North America,2,1,0,0,0,0,50
1990,South-East Asia,9,3,2,0,0,22.22222222222222,33.33333333333333
1990,Western Pacific,16,3,5,0,0,31.25,18.75
1991,Africa,42,20,4,0,0,9.523809523809524,47.61904761904761
1991,Eastern Mediterranean,20,9,0,0,0,0,45
1991,Europe,34,8,8,0,0,23.52941176470588,23.52941176470588
1991,Latin America and the Caribbean,33,15,6,1,3.0303030303030303,18.181818181818183,45.45454545454545
1991,North America,2,1,1,1,50,50,50
1991,South-East Asia,10,4,2,1,10,20,40
1991,Western Pacific,20,4,9,0,0,45,20
1992,Africa,42,21,6,0,0,14.285714285714285,50
1992,Eastern Mediterranean,20,8,1,0,0,5,40
1992,Europe,45,10,4,0,0,8.88888888888889,22.22222222222222
1992,Latin America and the Caribbean,30,20,6,0,0,20,66.66666666666666
1992,North America,2,1,1,0,0,50,50
1992,South-East Asia,9,5,3,0,0,33.33333333333333,55.55555555555556
1992,Western Pacific,18,5,8,0,0,44.44444444444444,27.77777777777778
1993,Africa,42,21,2,0,0,4.761904761904762,50
1993,Eastern Mediterranean,20,9,1,0,0,5,45
1993,Europe,49,16,4,0,0,8.16326530612245,32.6530612244898
1993,Latin America and the Caribbean,33,16,3,1,3.0303030303030303,9.090909090909092,48.484848484848484
1993,North America,2,2,0,0,0,0,100
1993,South-East Asia,10,8,0,0,0,0,80
1993,Western Pacific,19,5,8,0,0,42.10526315789473,26.31578947368421
1994,Africa,45,25,3,0,0,6.666666666666667,55.55555555555556
1994,Eastern Mediterranean,20,10,2,0,0,10,50
1994,Europe,50,16,1,0,0,2,32
1994,Latin America and the Caribbean,33,21,5,0,0,15.151515151515152,63.63636363636363
1994,North America,2,2,0,0,0,0,100
1994,South-East Asia,10,8,1,0,0,10,80
1994,Western Pacific,18,8,3,0,0,16.666666666666664,44.44444444444444
1995,Africa,40,26,2,0,0,5,65
1995,Eastern Mediterranean,19,7,1,0,0,5.263157894736842,36.84210526315789
1995,Europe,50,16,4,1,2,8,32
1995,Latin America and the Caribbean,32,20,6,1,3.125,18.75,62.5
1995,North America,2,1,1,0,0,50,50
1995,South-East Asia,10,7,0,0,0,0,70
1995,Western Pacific,19,14,8,2,10.526315789473683,42.10526315789473,73.68421052631578
1996,Africa,44,30,3,0,0,6.8181818181818175,68.18181818181817
1996,Eastern Mediterranean,20,9,0,0,0,0,45
1996,Europe,51,13,5,1,1.9607843137254901,9.803921568627452,25.49019607843137
1996,Latin America and the Caribbean,33,20,4,0,0,12.121212121212121,60.60606060606061
1996,North America,2,2,1,0,0,50,100
1996,South-East Asia,10,6,3,0,0,30,60
1996,Western Pacific,21,9,9,1,4.761904761904762,42.857142857142854,42.857142857142854
1997,Africa,44,23,5,0,0,11.363636363636363,52.27272727272727
1997,Eastern Mediterranean,19,6,0,0,0,0,31.57894736842105
1997,Europe,51,15,8,0,0,15.686274509803921,29.411764705882355
1997,Latin America and the Caribbean,33,17,6,0,0,18.181818181818183,51.515151515151516
1997,North America,2,2,1,0,0,50,100
1997,South-East Asia,10,4,2,0,0,20,40
